city,timestamp,temperature_celsius,pressure_mb,humidity
Abuja,2025-01-01 11:00:00,34.3,1013.0,22
Abuja,2025-01-02 11:15:00,33.2,1013.0,26
Abuja,2025-01-03 11:45:00,34.0,1013.0,26
Abuja,2025-01-04 11:00:00,33.4,1014.0,30
Abuja,2025-01-05 11:15:00,33.4,1012.0,14
Abuja,2025-01-06 11:30:00,32.1,1014.0,21
Abuja,2025-01-07 11:45:00,31.0,1015.0,26
Abuja,2025-01-08 11:30:00,32.2,1015.0,20
Abuja,2025-01-09 11:30:00,31.0,1014.0,26
Abuja,2025-01-10 12:30:00,30.1,1014.0,22
Abuja,2025-01-11 12:15:00,33.8,1012.0,12
Abuja,2025-01-12 11:30:00,31.9,1013.0,14
Abuja,2025-01-13 11:45:00,32.3,1013.0,24
Abuja,2025-01-14 12:00:00,31.0,1012.0,29
Abuja,2025-01-15 11:30:00,31.0,1013.0,27
Abuja,2025-01-16 11:00:00,33.1,1013.0,30
Abuja,2025-01-17 11:30:00,34.2,1012.0,30
Abuja,2025-01-18 10:30:00,31.0,1014.0,26
Abuja,2025-01-19 11:00:00,28.0,1015.0,42
Abuja,2025-01-20 11:30:00,29.3,1015.0,58
Abuja,2025-01-21 11:30:00,30.3,1015.0,59
Abuja,2025-01-22 11:15:00,33.1,1014.0,24
Abuja,2025-01-23 11:30:00,30.3,1014.0,27
Abuja,2025-01-24 11:30:00,33.2,1014.0,21
Abuja,2025-01-25 11:15:00,34.2,1015.0,22
Abuja,2025-01-26 11:15:00,30.1,1015.0,33
Abuja,2025-01-27 11:30:00,32.9,1013.0,10
Abuja,2025-01-28 12:00:00,33.9,1012.0,10
Abuja,2025-01-29 11:30:00,31.2,1015.0,29
Abuja,2025-01-30 11:15:00,33.2,1014.0,24
Abuja,2025-01-31 11:30:00,33.3,1012.0,12
Abuja,2025-02-01 11:30:00,32.7,1011.0,12
Abuja,2025-02-02 11:15:00,33.2,1012.0,14
Abuja,2025-02-03 11:30:00,32.2,1011.0,49
Abuja,2025-02-04 11:30:00,34.7,1009.0,11
Abuja,2025-02-05 11:30:00,33.7,1011.0,18
Abuja,2025-02-06 11:15:00,33.5,1010.0,16
Abuja,2025-02-07 11:30:00,33.9,1010.0,9
Abuja,2025-02-08 11:30:00,34.0,1013.0,25
Abuja,2025-02-09 11:30:00,33.0,1013.0,39
Abuja,2025-02-10 11:30:00,33.1,1010.0,11
Abuja,2025-02-11 11:30:00,33.1,1011.0,21
Abuja,2025-02-12 11:15:00,35.2,1012.0,22
Abuja,2025-02-13 11:30:00,34.3,1013.0,30
Abuja,2025-02-14 11:00:00,30.1,1014.0,33
Abuja,2025-02-15 11:15:00,34.3,1013.0,28
Abuja,2025-02-16 11:15:00,34.1,1012.0,28
Abuja,2025-02-17 11:15:00,34.8,1011.0,8
Abuja,2025-02-18 11:15:00,32.2,1013.0,16
Abuja,2025-02-19 11:15:00,31.1,1014.0,43
Abuja,2025-02-20 11:00:00,32.0,1014.0,46
Abuja,2025-02-21 11:00:00,32.3,1013.0,49
Abuja,2025-02-22 11:15:00,33.1,1012.0,56
Abuja,2025-02-23 11:00:00,30.2,1013.0,55
Abuja,2025-02-24 11:00:00,32.1,1012.0,52
Abuja,2025-02-25 11:00:00,32.0,1014.0,43
