city,timestamp,temperature_celsius,pressure_mb,humidity
Antananarivo,2025-01-01 13:30:00,28.4,1019.0,45
Antananarivo,2025-01-02 13:15:00,30.3,1018.0,33
Antananarivo,2025-01-03 13:45:00,29.3,1018.0,33
Antananarivo,2025-01-04 13:15:00,28.2,1018.0,37
Antananarivo,2025-01-05 13:15:00,28.2,1018.0,35
Antananarivo,2025-01-06 12:45:00,29.3,1019.0,33
Antananarivo,2025-01-07 14:30:00,28.7,1013.0,29
Antananarivo,2025-01-08 13:00:00,30.1,1019.0,35
Antananarivo,2025-01-09 13:30:00,29.2,1019.0,43
Antananarivo,2025-01-10 14:00:00,30.3,1020.0,35
Antananarivo,2025-01-11 13:30:00,25.0,1020.0,61
Antananarivo,2025-01-12 13:30:00,23.1,1017.0,69
Antananarivo,2025-01-13 14:30:00,25.4,1009.0,66
Antananarivo,2025-01-14 14:00:00,23.0,1016.0,83
Antananarivo,2025-01-15 13:30:00,26.0,1019.0,54
Antananarivo,2025-01-16 13:15:00,30.4,1018.0,49
Antananarivo,2025-01-17 13:30:00,29.2,1017.0,45
Antananarivo,2025-01-18 13:15:00,30.2,1015.0,40
Antananarivo,2025-01-19 12:15:00,30.3,1015.0,43
Antananarivo,2025-01-20 13:30:00,28.3,1017.0,45
Antananarivo,2025-01-21 13:30:00,29.1,1018.0,45
Antananarivo,2025-01-22 13:15:00,27.3,1016.0,58
Antananarivo,2025-01-23 13:30:00,27.1,1015.0,54
Antananarivo,2025-01-24 13:30:00,26.0,1015.0,61
Antananarivo,2025-01-25 13:15:00,26.1,1014.0,61
Antananarivo,2025-01-26 13:15:00,25.4,1015.0,65
Antananarivo,2025-01-27 13:30:00,28.2,1015.0,55
Antananarivo,2025-01-28 14:00:00,27.2,1014.0,58
Antananarivo,2025-01-29 13:30:00,29.1,1015.0,52
Antananarivo,2025-01-30 13:15:00,29.3,1015.0,48
Antananarivo,2025-01-31 13:30:00,29.2,1014.0,52
Antananarivo,2025-02-01 13:30:00,31.2,1014.0,49
Antananarivo,2025-02-02 13:15:00,30.3,1013.0,49
Antananarivo,2025-02-03 13:30:00,27.3,1014.0,62
Antananarivo,2025-02-04 13:30:00,23.2,1013.0,69
Antananarivo,2025-02-05 13:30:00,25.2,1015.0,65
Antananarivo,2025-02-06 13:15:00,25.0,1017.0,65
Antananarivo,2025-02-07 13:30:00,29.3,1018.0,48
Antananarivo,2025-02-08 13:30:00,27.2,1018.0,58
Antananarivo,2025-02-09 13:30:00,29.2,1017.0,48
Antananarivo,2025-02-10 13:30:00,28.3,1014.0,55
Antananarivo,2025-02-11 13:15:00,29.0,1015.0,52
Antananarivo,2025-02-12 13:15:00,28.4,1016.0,58
Antananarivo,2025-02-13 13:15:00,28.3,1017.0,58
Antananarivo,2025-02-14 13:00:00,29.1,1017.0,55
Antananarivo,2025-02-15 13:15:00,26.1,1016.0,70
Antananarivo,2025-02-16 13:15:00,23.1,1014.0,78
Antananarivo,2025-02-17 13:15:00,27.4,1015.0,58
Antananarivo,2025-02-18 13:15:00,28.3,1015.0,62
Antananarivo,2025-02-19 13:15:00,23.0,1016.0,78
Antananarivo,2025-02-20 13:00:00,28.3,1016.0,55
Antananarivo,2025-02-21 13:00:00,23.2,1016.0,78
Antananarivo,2025-02-22 13:15:00,28.2,1017.0,51
Antananarivo,2025-02-23 13:00:00,26.3,1017.0,61
Antananarivo,2025-02-24 13:00:00,27.2,1017.0,51
Antananarivo,2025-02-25 13:00:00,26.1,1017.0,54
Antananarivo,2025-02-26 13:00:00,28.0,1017.0,42
Antananarivo,2025-02-27 12:45:00,26.2,1017.0,54
Antananarivo,2025-02-28 13:00:00,22.0,1015.0,73
Antananarivo,2025-03-01 12:45:00,26.4,1015.0,65
Antananarivo,2025-03-02 13:00:00,27.2,1016.0,51
Antananarivo,2025-03-03 12:45:00,27.0,1017.0,58
Antananarivo,2025-03-04 12:45:00,27.3,1018.0,62
Antananarivo,2025-03-05 12:45:00,28.0,1019.0,58
Antananarivo,2025-03-06 12:45:00,28.3,1020.0,45
Antananarivo,2025-03-07 12:45:00,26.4,1019.0,58
Antananarivo,2025-03-08 12:45:00,21.0,1016.0,94
Antananarivo,2025-03-09 12:45:00,22.2,1017.0,83
Antananarivo,2025-03-10 12:45:00,26.2,1018.0,54
Antananarivo,2025-03-11 12:45:00,25.3,1018.0,61
Antananarivo,2025-03-12 12:45:00,27.3,1017.0,54
Antananarivo,2025-03-13 12:45:00,27.4,1016.0,54
Antananarivo,2025-03-14 12:45:00,25.2,1014.0,69
Antananarivo,2025-03-15 12:45:00,25.3,1014.0,65
Antananarivo,2025-03-16 12:45:00,27.1,1015.0,58
Antananarivo,2025-03-17 12:45:00,26.3,1018.0,54
Antananarivo,2025-03-18 12:45:00,23.1,1021.0,57
Antananarivo,2025-03-19 12:30:00,24.3,1022.0,57
Antananarivo,2025-03-20 12:45:00,25.1,1022.0,61
