city,lat,lon,month,year,rain,temp,humidity
Berlin,52.52,13.405,1,2021,41.78,1.0,86
Berlin,52.52,13.405,2,2021,73.74,33.7,73
Berlin,52.52,13.405,3,2021,73.96,12.9,64
Berlin,52.52,13.405,4,2021,10.47,15.1,30
Berlin,52.52,13.405,5,2021,153.51,4.9,81
Berlin,52.52,13.405,6,2021,83.3,13.8,99
Berlin,52.52,13.405,7,2021,164.44,21.5,66
Berlin,52.52,13.405,8,2021,170.07,25.0,94
Berlin,52.52,13.405,9,2021,42.4,25.2,80
Berlin,52.52,13.405,10,2021,131.47,18.1,30
Berlin,52.52,13.405,11,2021,94.46,31.2,50
Berlin,52.52,13.405,12,2021,176.03,27.7,82
