city,lat,lon,month,year,Rainfall (mm),temp,humidity
Berlin,52.52,13.405,1,2022,43.15,25.3,45
Berlin,52.52,13.405,2,2022,135.56,-2.8,90
Berlin,52.52,13.405,3,2022,121.55,-4.7,83
Berlin,52.52,13.405,4,2022,59.06,3.5,69
Berlin,52.52,13.405,5,2022,27.32,21.5,55
Berlin,52.52,13.405,6,2022,130.33,11.4,94
Berlin,52.52,13.405,7,2022,147.72,11.1,93
Berlin,52.52,13.405,8,2022,63.13,30.4,72
Berlin,52.52,13.405,9,2022,128.97,30.8,46
Berlin,52.52,13.405,10,2022,79.03,31.4,88
Berlin,52.52,13.405,11,2022,142.64,7.6,52
Berlin,52.52,13.405,12,2022,39.84,22.6,36
