city,timestamp,temperature_celsius,pressure_mb,humidity
Berlin,2025-01-01 11:30:00,6.3,1012.0,75
Berlin,2025-01-02 10:45:00,4.1,1008.0,81
Berlin,2025-01-03 11:45:00,3.3,1009.0,75
Berlin,2025-01-04 10:45:00,0.0,1019.0,86
Berlin,2025-01-05 10:45:00,-0.6,1008.0,80
Berlin,2025-01-06 11:15:00,10.3,991.0,76
Berlin,2025-01-07 11:30:00,8.3,998.0,57
Berlin,2025-01-08 11:30:00,3.3,1002.0,81
Berlin,2025-01-09 11:30:00,1.2,998.0,93
Berlin,2025-01-10 11:45:00,1.1,1010.0,93
Berlin,2025-01-11 11:30:00,1.1,1015.0,75
Berlin,2025-01-12 12:15:00,0.8,1032.0,81
Berlin,2025-01-13 11:45:00,0.3,1044.0,69
Berlin,2025-01-14 12:00:00,0.2,1031.0,69
Berlin,2025-01-15 10:45:00,5.3,1029.0,93
Berlin,2025-01-16 11:00:00,3.3,1037.0,93
Berlin,2025-01-17 10:45:00,0.2,1038.0,100
Berlin,2025-01-18 11:15:00,-1.8,1034.0,93
Berlin,2025-01-19 11:45:00,4.4,1026.0,71
Berlin,2025-01-20 11:30:00,4.3,1019.0,75
Berlin,2025-01-21 11:30:00,-0.8,1019.0,86
Berlin,2025-01-22 11:15:00,-0.7,1013.0,93
Berlin,2025-01-23 11:30:00,2.2,1000.0,93
Berlin,2025-01-24 11:30:00,6.2,1010.0,75
Berlin,2025-01-25 11:15:00,10.2,1005.0,71
Berlin,2025-01-26 11:15:00,9.4,1005.0,76
Berlin,2025-01-27 11:30:00,10.1,997.0,66
Berlin,2025-01-28 12:00:00,8.0,998.0,76
Berlin,2025-01-29 11:30:00,8.1,1001.0,81
Berlin,2025-01-30 11:15:00,6.3,1015.0,75
Berlin,2025-01-31 11:30:00,4.3,1025.0,87
Berlin,2025-02-01 11:30:00,3.0,1033.0,87
Berlin,2025-02-02 11:15:00,3.1,1027.0,81
Berlin,2025-02-03 11:30:00,3.1,1029.0,81
Berlin,2025-02-04 11:30:00,1.2,1029.0,80
Berlin,2025-02-05 11:30:00,1.3,1034.0,86
Berlin,2025-02-06 11:15:00,4.0,1041.0,87
Berlin,2025-02-07 11:30:00,2.0,1037.0,80
Berlin,2025-02-08 11:30:00,4.3,1029.0,65
Berlin,2025-02-09 11:30:00,1.3,1031.0,75
Berlin,2025-02-10 11:30:00,1.2,1031.0,75
Berlin,2025-02-11 11:15:00,0.4,1029.0,59
Berlin,2025-02-12 11:15:00,-3.0,1023.0,74
Berlin,2025-02-13 11:15:00,-0.9,1016.0,86
Berlin,2025-02-14 11:00:00,0.2,1024.0,86
Berlin,2025-02-15 11:15:00,-0.7,1025.0,80
Berlin,2025-02-16 11:15:00,-0.8,1024.0,80
Berlin,2025-02-17 11:15:00,0.2,1027.0,59
Berlin,2025-02-18 11:15:00,-1.7,1031.0,63
Berlin,2025-02-19 11:15:00,0.2,1033.0,51
Berlin,2025-02-20 11:00:00,-0.9,1028.0,55
Berlin,2025-02-21 11:00:00,4.1,1025.0,75
Berlin,2025-02-22 11:00:00,6.3,1020.0,52
Berlin,2025-02-23 11:15:00,10.1,1026.0,82
Berlin,2025-02-24 11:00:00,7.3,1024.0,76
Berlin,2025-02-25 11:00:00,9.1,1015.0,93
Berlin,2025-02-26 11:00:00,6.3,1013.0,93
Berlin,2025-02-27 10:45:00,8.3,1016.0,76
Berlin,2025-02-28 11:00:00,4.0,1020.0,93
Berlin,2025-03-01 11:00:00,4.4,1030.0,87
Berlin,2025-03-02 11:00:00,3.0,1033.0,81
Berlin,2025-03-03 11:00:00,7.0,1029.0,61
Berlin,2025-03-04 10:45:00,7.1,1027.0,57
Berlin,2025-03-05 10:45:00,10.2,1024.0,43
Berlin,2025-03-06 10:45:00,10.1,1021.0,50
Berlin,2025-03-07 10:45:00,11.2,1021.0,54
Berlin,2025-03-08 10:45:00,13.3,1018.0,41
Berlin,2025-03-09 10:45:00,10.4,1008.0,54
Berlin,2025-03-10 10:45:00,11.3,1000.0,62
Berlin,2025-03-11 10:45:00,2.3,1001.0,93
Berlin,2025-03-12 10:45:00,6.3,999.0,75
Berlin,2025-03-13 10:45:00,5.3,996.0,81
Berlin,2025-03-14 10:45:00,5.2,1006.0,70
Berlin,2025-03-15 10:45:00,4.3,1019.0,87
Berlin,2025-03-16 10:45:00,7.1,1020.0,66
Berlin,2025-03-17 10:45:00,4.1,1030.0,44
Berlin,2025-03-18 10:45:00,6.2,1033.0,33
Berlin,2025-03-19 10:30:00,6.3,1029.0,45
Berlin,2025-03-20 10:45:00,10.2,1025.0,46
Berlin,2025-03-21 10:30:00,14.1,1022.0,38
Berlin,2025-03-22 10:30:00,11.3,1016.0,47
Berlin,2025-03-23 10:45:00,10.4,1008.0,50
Berlin,2025-03-24 10:30:00,11.2,1012.0,71
Berlin,2025-03-25 10:15:00,12.1,1017.0,62
Berlin,2025-03-26 10:15:00,8.3,1018.0,87
Berlin,2025-03-27 10:15:00,5.2,1023.0,93
Berlin,2025-03-28 10:45:00,6.1,1016.0,87
Berlin,2025-03-29 10:30:00,10.4,1012.0,66
Berlin,2025-03-30 11:30:00,7.3,1010.0,76
Berlin,2025-03-31 11:15:00,8.4,1018.0,76
Berlin,2025-04-01 11:30:00,12.1,1029.0,54
Berlin,2025-04-02 11:00:00,7.1,1029.0,81
Berlin,2025-04-03 11:00:00,12.2,1028.0,50
Berlin,2025-04-04 11:15:00,17.3,1022.0,48
Berlin,2025-04-05 11:00:00,6.3,1019.0,61
Berlin,2025-04-06 11:00:00,6.1,1027.0,42
Berlin,2025-04-07 11:15:00,10.1,1024.0,43
Berlin,2025-04-08 11:30:00,11.4,1028.0,40
Berlin,2025-04-09 11:15:00,9.1,1022.0,57
Berlin,2025-04-10 11:15:00,9.0,1025.0,66
Berlin,2025-04-11 11:15:00,10.1,1015.0,66
Berlin,2025-04-12 11:15:00,12.1,1016.0,71
Berlin,2025-04-13 11:00:00,17.4,1005.0,52
Berlin,2025-04-14 11:30:00,17.2,1010.0,63
Berlin,2025-04-15 11:15:00,21.3,1004.0,49
Berlin,2025-04-16 11:00:00,19.1,1008.0,64
Berlin,2025-04-17 10:45:00,21.1,1006.0,53
Berlin,2025-04-18 11:15:00,12.3,1009.0,88
Berlin,2025-04-19 11:00:00,9.0,1009.0,93
