city,timestamp,temp,pressure,humidity
Canberra,2024-05-16 18:45:00,9.0,1027.0,87
Canberra,2024-05-17 00:00:00,5.0,1027.0,100
Canberra,2024-05-18 02:00:00,7.0,1023.0,66
Canberra,2024-05-20 00:00:00,-1.0,1022.0,93
Canberra,2024-05-21 00:45:00,3.0,1027.0,93
Canberra,2024-05-22 00:45:00,7.0,1027.0,76
Canberra,2024-05-23 00:15:00,1.0,1026.0,100
Canberra,2024-05-24 00:00:00,1.0,1027.0,100
Canberra,2024-05-25 00:30:00,4.0,1028.0,100
Canberra,2024-05-26 00:00:00,2.0,1027.0,100
Canberra,2024-05-27 00:00:00,2.0,1025.0,100
Canberra,2024-05-28 00:30:00,0.0,1028.0,100
Canberra,2024-05-29 00:30:00,0.0,1029.0,100
Canberra,2024-05-30 00:00:00,4.0,1026.0,93
Canberra,2024-05-30 23:45:00,14.0,1018.0,72
Canberra,2024-06-01 00:15:00,4.0,1021.0,100
Canberra,2024-06-02 00:15:00,8.0,1022.0,71
Canberra,2024-06-03 00:00:00,2.0,1015.0,93
Canberra,2024-06-04 00:15:00,6.0,1013.0,87
Canberra,2024-06-05 00:15:00,6.0,1018.0,93
Canberra,2024-06-06 00:15:00,9.0,1021.0,93
Canberra,2024-06-07 00:00:00,10.0,1020.0,76
Canberra,2024-06-08 00:00:00,9.2,1015.0,100
Canberra,2024-06-09 00:15:00,8.1,1015.0,93
Canberra,2024-06-10 00:15:00,1.1,1021.0,100
Canberra,2024-06-11 00:15:00,1.2,1022.0,100
Canberra,2024-06-12 00:00:00,10.1,1011.0,87
Canberra,2024-06-13 00:15:00,-1.9,1020.0,86
Canberra,2024-06-14 00:00:00,4.1,1021.0,93
Canberra,2024-06-15 00:00:00,6.3,1018.0,89
Canberra,2024-06-16 00:00:00,1.2,1017.0,93
Canberra,2024-06-16 23:45:00,0.1,1016.0,86
Canberra,2024-06-18 00:00:00,-0.6,1018.0,100
Canberra,2024-06-18 23:45:00,-0.4,1019.0,92
Canberra,2024-06-19 23:45:00,-3.7,1017.0,100
Canberra,2024-06-20 23:45:00,3.9,1018.0,98
Canberra,2024-06-21 23:30:00,7.1,1024.0,76
Canberra,2024-06-22 23:45:00,-0.6,1027.0,100
Canberra,2024-06-23 23:45:00,-0.8,1022.0,100
Canberra,2024-06-24 23:45:00,0.3,1019.0,100
Canberra,2024-06-25 23:15:00,7.1,1020.0,76
Canberra,2024-06-26 23:30:00,4.1,1020.0,75
Canberra,2024-06-27 23:15:00,3.0,1023.0,93
Canberra,2024-06-28 23:15:00,1.3,1023.0,100
Canberra,2024-06-29 22:45:00,11.2,1014.0,94
Canberra,2024-06-30 23:30:00,-0.7,1022.0,100
Canberra,2024-07-01 23:15:00,-1.6,1028.0,100
Canberra,2024-07-02 23:15:00,4.0,1033.0,100
Canberra,2024-07-03 23:00:00,5.2,1035.0,87
Canberra,2024-07-04 23:00:00,6.3,1037.0,75
Canberra,2024-07-05 22:45:00,6.0,1040.0,81
Canberra,2024-07-06 23:15:00,7.1,1037.0,70
Canberra,2024-07-07 23:00:00,8.3,1030.0,93
Canberra,2024-07-08 23:00:00,9.4,1020.0,100
Canberra,2024-07-09 22:45:00,9.1,1020.0,100
Canberra,2024-07-10 23:00:00,6.1,1023.0,100
Canberra,2024-07-11 22:45:00,3.2,1018.0,100
Canberra,2024-07-12 22:45:00,4.3,1014.0,100
Canberra,2024-07-13 23:00:00,2.4,1012.0,93
Canberra,2024-07-14 23:15:00,2.3,1009.0,93
Canberra,2024-07-15 23:00:00,5.4,1002.0,81
Canberra,2024-07-16 22:45:00,5.3,1005.0,100
Canberra,2024-07-17 22:45:00,5.1,1012.0,93
Canberra,2024-07-18 22:45:00,2.4,1015.0,75
Canberra,2024-07-19 22:30:00,7.3,1009.0,81
Canberra,2024-07-20 22:45:00,8.1,1009.0,71
Canberra,2024-07-23 22:30:00,4.4,1027.0,94
Canberra,2024-07-24 22:45:00,4.0,1021.0,94
Canberra,2024-07-25 22:15:00,8.4,1014.0,97
Canberra,2024-07-26 22:30:00,2.8,1023.0,93
Canberra,2024-07-27 22:30:00,2.4,1017.0,91
Canberra,2024-07-28 22:45:00,-0.5,1024.0,81
Canberra,2024-07-29 22:15:00,-0.7,1034.0,85
Canberra,2024-07-30 22:15:00,0.4,1037.0,87
Canberra,2024-07-31 22:15:00,0.8,1037.0,90
Canberra,2024-08-01 22:15:00,1.1,1034.0,93
Canberra,2024-08-02 22:15:00,2.5,1030.0,86
Canberra,2024-08-03 22:30:00,2.1,1030.0,90
Canberra,2024-08-04 22:30:00,5.0,1027.0,82
Canberra,2024-08-05 22:30:00,2.4,1024.0,93
Canberra,2024-08-06 22:15:00,1.3,1025.0,91
Canberra,2024-08-07 22:00:00,2.9,1029.0,89
Canberra,2024-08-08 22:15:00,6.0,1026.0,85
Canberra,2024-08-09 22:30:00,4.3,1029.0,87
Canberra,2024-08-10 22:30:00,6.9,1031.0,83
Canberra,2024-08-11 22:15:00,6.5,1032.0,93
Canberra,2024-08-12 22:30:00,8.8,1031.0,93
Canberra,2024-08-13 22:30:00,8.3,1025.0,96
Canberra,2024-08-14 22:30:00,9.0,1020.0,100
Canberra,2024-08-15 22:15:00,9.1,1018.0,100
Canberra,2024-08-16 22:15:00,9.4,1010.0,93
Canberra,2024-08-17 22:15:00,7.3,1009.0,100
Canberra,2024-08-18 22:00:00,9.4,1021.0,93
Canberra,2024-08-19 22:30:00,8.1,1024.0,93
