city,timestamp,temperature_celsius,pressure_mb,humidity
Canberra,2025-01-01 21:00:00,16.2,1015.0,87
Canberra,2025-01-02 20:45:00,15.2,1022.0,72
Canberra,2025-01-03 21:45:00,16.6,1019.0,82
Canberra,2025-01-04 21:15:00,21.1,1016.0,53
Canberra,2025-01-05 22:00:00,23.1,1016.0,41
Canberra,2025-01-06 21:30:00,19.1,1019.0,88
Canberra,2025-01-07 21:45:00,16.0,1023.0,72
Canberra,2025-01-08 21:30:00,15.2,1021.0,67
Canberra,2025-01-09 20:45:00,19.1,1018.0,73
Canberra,2025-01-10 21:45:00,18.3,1018.0,94
Canberra,2025-01-11 21:30:00,19.2,1014.0,100
Canberra,2025-01-12 21:30:00,18.2,1011.0,94
Canberra,2025-01-13 21:45:00,22.2,1009.0,69
Canberra,2025-01-14 22:00:00,22.3,1008.0,78
Canberra,2025-01-15 21:30:00,19.4,1000.0,100
Canberra,2025-01-16 21:00:00,17.3,1010.0,48
Canberra,2025-01-17 20:45:00,17.4,1019.0,52
Canberra,2025-01-18 21:15:00,17.4,1022.0,72
Canberra,2025-01-19 21:45:00,13.5,1017.0,75
Canberra,2025-01-20 21:30:00,20.1,1012.0,68
Canberra,2025-01-21 21:30:00,23.3,1009.0,69
Canberra,2025-01-22 21:15:00,19.4,1011.0,73
Canberra,2025-01-23 21:30:00,17.2,1007.0,77
Canberra,2025-01-24 21:30:00,18.3,1012.0,77
Canberra,2025-01-25 21:15:00,21.1,1012.0,56
Canberra,2025-01-26 21:15:00,19.1,1016.0,83
Canberra,2025-01-27 21:30:00,27.2,1010.0,48
Canberra,2025-01-28 22:00:00,18.2,1018.0,83
Canberra,2025-01-29 21:15:00,19.2,1014.0,73
Canberra,2025-01-30 21:15:00,19.2,1015.0,78
Canberra,2025-01-31 21:30:00,19.0,1021.0,83
Canberra,2025-02-01 21:30:00,21.3,1022.0,69
Canberra,2025-02-02 21:15:00,24.4,1018.0,57
Canberra,2025-02-03 21:30:00,25.2,1016.0,51
Canberra,2025-02-04 21:30:00,25.0,1011.0,39
Canberra,2025-02-05 21:30:00,18.4,1016.0,100
Canberra,2025-02-06 21:15:00,25.2,1013.0,69
Canberra,2025-02-07 21:15:00,24.3,1010.0,61
Canberra,2025-02-08 21:30:00,20.0,1012.0,78
Canberra,2025-02-09 21:15:00,19.1,1013.0,88
Canberra,2025-02-10 21:30:00,16.1,1014.0,100
Canberra,2025-02-11 21:00:00,18.1,1014.0,83
Canberra,2025-02-12 21:15:00,20.3,1015.0,78
Canberra,2025-02-13 21:15:00,25.1,1008.0,65
Canberra,2025-02-14 21:00:00,19.0,1005.0,100
Canberra,2025-02-15 21:15:00,16.2,1007.0,45
Canberra,2025-02-16 21:15:00,12.4,1017.0,54
Canberra,2025-02-17 21:15:00,16.3,1018.0,59
Canberra,2025-02-18 21:00:00,18.1,1014.0,60
Canberra,2025-02-19 21:15:00,15.2,1016.0,88
Canberra,2025-02-20 21:00:00,15.0,1024.0,77
Canberra,2025-02-21 21:00:00,21.2,1023.0,64
Canberra,2025-02-22 21:00:00,25.2,1020.0,44
Canberra,2025-02-23 21:00:00,23.3,1017.0,57
Canberra,2025-02-24 21:00:00,18.3,1023.0,77
Canberra,2025-02-25 21:00:00,17.1,1025.0,83
Canberra,2025-02-26 21:00:00,28.2,1018.0,40
Canberra,2025-02-27 20:45:00,27.1,1016.0,62
Canberra,2025-02-28 21:00:00,25.2,1016.0,39
Canberra,2025-03-01 20:45:00,25.4,1014.0,36
Canberra,2025-03-02 21:00:00,17.3,1018.0,83
Canberra,2025-03-03 20:45:00,18.3,1022.0,64
Canberra,2025-03-04 20:30:00,18.3,1024.0,60
Canberra,2025-03-05 20:45:00,20.0,1021.0,64
Canberra,2025-03-06 20:45:00,18.2,1023.0,64
Canberra,2025-03-07 20:45:00,17.2,1024.0,83
Canberra,2025-03-08 20:45:00,19.0,1024.0,78
Canberra,2025-03-09 20:30:00,23.3,1021.0,61
Canberra,2025-03-10 20:45:00,19.1,1022.0,100
Canberra,2025-03-11 20:45:00,19.3,1024.0,78
Canberra,2025-03-12 20:45:00,20.3,1020.0,68
Canberra,2025-03-13 20:45:00,20.1,1019.0,73
Canberra,2025-03-14 20:30:00,22.2,1020.0,65
Canberra,2025-03-15 20:45:00,24.0,1017.0,50
Canberra,2025-03-16 20:45:00,24.1,1008.0,50
Canberra,2025-03-17 20:30:00,14.1,1023.0,55
Canberra,2025-03-18 20:45:00,17.2,1022.0,68
Canberra,2025-03-19 20:30:00,24.0,1019.0,54
Canberra,2025-03-20 20:45:00,23.2,1016.0,61
Canberra,2025-03-21 20:30:00,21.3,1016.0,73
Canberra,2025-03-22 20:30:00,19.2,1019.0,78
Canberra,2025-03-23 20:45:00,18.2,1021.0,88
Canberra,2025-03-24 20:30:00,22.1,1020.0,69
