city,lat,lon,month,year,Rainfall (mm),temp,humidity
Cologne,50.9375,6.9603,1,2021,76.87,26.2,71
Cologne,50.9375,6.9603,2,2021,5.04,-4.4,56
Cologne,50.9375,6.9603,3,2021,167.8,27.7,81
Cologne,50.9375,6.9603,4,2021,2.28,-3.4,71
Cologne,50.9375,6.9603,5,2021,140.74,30.6,61
Cologne,50.9375,6.9603,6,2021,194.05,34.7,55
Cologne,50.9375,6.9603,7,2021,87.53,6.8,54
Cologne,50.9375,6.9603,8,2021,46.99,3.4,52
Cologne,50.9375,6.9603,9,2021,140.97,25.6,86
Cologne,50.9375,6.9603,10,2021,163.43,5.1,81
Cologne,50.9375,6.9603,11,2021,109.29,29.6,60
Cologne,50.9375,6.9603,12,2021,193.41,-0.9,93
