city,lat,lon,month,year,rain,temp,humidity
Cologne,50.9375,6.9603,1,2023,58.01,25.7,81
Cologne,50.9375,6.9603,2,2023,174.28,4.1,78
Cologne,50.9375,6.9603,3,2023,134.54,22.7,40
Cologne,50.9375,6.9603,4,2023,159.34,4.3,95
Cologne,50.9375,6.9603,5,2023,50.09,20.0,87
Cologne,50.9375,6.9603,6,2023,124.97,24.9,65
Cologne,50.9375,6.9603,7,2023,114.35,3.7,62
Cologne,50.9375,6.9603,8,2023,166.57,-2.6,76
Cologne,50.9375,6.9603,9,2023,181.22,0.2,42
Cologne,50.9375,6.9603,10,2023,2.43,19.2,69
Cologne,50.9375,6.9603,11,2023,134.8,29.0,97
Cologne,50.9375,6.9603,12,2023,10.37,-3.2,71
