city,lat,lon,month,year,Rainfall (mm),temp,humidity
Dresden,51.0504,13.7373,1,2021,171.6,-4.0,87
Dresden,51.0504,13.7373,2,2021,199.53,9.2,41
Dresden,51.0504,13.7373,3,2021,48.3,26.2,98
Dresden,51.0504,13.7373,4,2021,8.07,17.6,68
Dresden,51.0504,13.7373,5,2021,82.24,5.4,42
Dresden,51.0504,13.7373,6,2021,26.02,22.8,70
Dresden,51.0504,13.7373,7,2021,4.49,17.7,86
Dresden,51.0504,13.7373,8,2021,72.09,26.8,82
Dresden,51.0504,13.7373,9,2021,156.75,24.4,41
Dresden,51.0504,13.7373,10,2021,113.24,19.4,42
Dresden,51.0504,13.7373,11,2021,62.56,14.5,86
Dresden,51.0504,13.7373,12,2021,130.87,0.3,69
