city,lat,lon,month,year,rain,temp,humidity
Dresden,51.0504,13.7373,1,2022,46.4,5.5,74
Dresden,51.0504,13.7373,2,2022,2.88,11.8,64
Dresden,51.0504,13.7373,3,2022,152.87,19.0,32
Dresden,51.0504,13.7373,4,2022,124.75,15.5,34
Dresden,51.0504,13.7373,5,2022,152.46,6.5,40
Dresden,51.0504,13.7373,6,2022,7.79,-4.7,85
Dresden,51.0504,13.7373,7,2022,167.42,14.8,39
Dresden,51.0504,13.7373,8,2022,123.91,6.4,63
Dresden,51.0504,13.7373,9,2022,112.68,24.4,96
Dresden,51.0504,13.7373,10,2022,124.92,-4.0,60
Dresden,51.0504,13.7373,11,2022,172.89,18.4,95
Dresden,51.0504,13.7373,12,2022,117.39,32.7,99
