city,lat,lon,month,year,rain,temp,humidity
Dusseldorf,51.2277,6.7735,1,2023,153.3,4.8,33
Dusseldorf,51.2277,6.7735,2,2023,116.74,9.3,68
Dusseldorf,51.2277,6.7735,3,2023,156.39,34.6,93
Dusseldorf,51.2277,6.7735,4,2023,150.35,22.4,54
Dusseldorf,51.2277,6.7735,5,2023,160.6,33.0,57
Dusseldorf,51.2277,6.7735,6,2023,103.6,0.7,95
Dusseldorf,51.2277,6.7735,7,2023,28.06,10.3,51
Dusseldorf,51.2277,6.7735,8,2023,134.23,17.2,60
Dusseldorf,51.2277,6.7735,9,2023,124.09,-1.9,52
Dusseldorf,51.2277,6.7735,10,2023,148.45,-4.8,77
Dusseldorf,51.2277,6.7735,11,2023,33.98,21.8,49
Dusseldorf,51.2277,6.7735,12,2023,39.0,20.7,67
