city,lat,lon,month,year,rain,temp,humidity
Hamburg,53.5511,9.9937,1,2020,20.36,7.3,69
Hamburg,53.5511,9.9937,2,2020,101.19,16.9,95
Hamburg,53.5511,9.9937,3,2020,44.17,11.7,52
Hamburg,53.5511,9.9937,4,2020,7.79,1.4,77
Hamburg,53.5511,9.9937,5,2020,7.2,1.8,31
Hamburg,53.5511,9.9937,6,2020,35.04,11.7,49
Hamburg,53.5511,9.9937,7,2020,173.35,25.3,88
Hamburg,53.5511,9.9937,8,2020,56.5,30.9,75
Hamburg,53.5511,9.9937,9,2020,190.09,-1.6,32
Hamburg,53.5511,9.9937,10,2020,116.32,10.7,84
Hamburg,53.5511,9.9937,11,2020,87.32,-1.0,41
Hamburg,53.5511,9.9937,12,2020,116.02,-4.3,69
