city,lat,lon,month,year,Rainfall (mm),temp,humidity
Hamburg,53.5511,9.9937,1,2023,66.44,34.0,98
Hamburg,53.5511,9.9937,2,2023,138.72,16.8,52
Hamburg,53.5511,9.9937,3,2023,154.22,6.0,82
Hamburg,53.5511,9.9937,4,2023,130.93,23.4,66
Hamburg,53.5511,9.9937,5,2023,30.32,5.9,38
Hamburg,53.5511,9.9937,6,2023,175.18,31.2,44
Hamburg,53.5511,9.9937,7,2023,107.82,10.0,32
Hamburg,53.5511,9.9937,8,2023,56.49,17.0,99
Hamburg,53.5511,9.9937,9,2023,85.05,-3.0,46
Hamburg,53.5511,9.9937,10,2023,7.51,12.0,55
Hamburg,53.5511,9.9937,11,2023,25.57,28.3,50
Hamburg,53.5511,9.9937,12,2023,153.11,27.2,50
