city,lat,lon,month,year,rain,temp,humidity
Hanover,52.3759,9.732,1,2020,114.25,9.8,49
Hanover,52.3759,9.732,2,2020,28.6,9.3,53
Hanover,52.3759,9.732,3,2020,74.91,8.8,94
Hanover,52.3759,9.732,4,2020,159.55,15.8,94
Hanover,52.3759,9.732,5,2020,73.48,12.6,30
Hanover,52.3759,9.732,6,2020,17.4,30.2,32
Hanover,52.3759,9.732,7,2020,111.36,15.2,75
Hanover,52.3759,9.732,8,2020,169.02,15.3,84
Hanover,52.3759,9.732,9,2020,159.19,0.5,93
Hanover,52.3759,9.732,10,2020,35.02,34.3,74
Hanover,52.3759,9.732,11,2020,134.55,5.0,55
Hanover,52.3759,9.732,12,2020,44.1,-2.1,94
