city,lat,lon,month,year,Rainfall (mm),temp,humidity
Hanover,52.3759,9.732,1,2021,43.64,21.5,53
Hanover,52.3759,9.732,2,2021,174.81,18.8,64
Hanover,52.3759,9.732,3,2021,49.93,11.6,53
Hanover,52.3759,9.732,4,2021,52.65,11.9,57
Hanover,52.3759,9.732,5,2021,0.13,26.4,45
Hanover,52.3759,9.732,6,2021,174.13,2.8,88
Hanover,52.3759,9.732,7,2021,158.52,27.8,83
Hanover,52.3759,9.732,8,2021,125.47,20.9,45
Hanover,52.3759,9.732,9,2021,150.05,11.8,44
Hanover,52.3759,9.732,10,2021,30.41,13.3,40
Hanover,52.3759,9.732,11,2021,91.66,5.3,94
Hanover,52.3759,9.732,12,2021,70.24,25.1,97
