city,lat,lon,month,year,Rainfall (mm),temp,humidity
Leipzig,51.3397,12.3731,1,2022,194.62,28.8,60
Leipzig,51.3397,12.3731,2,2022,151.86,2.3,39
Leipzig,51.3397,12.3731,3,2022,193.55,33.3,65
Leipzig,51.3397,12.3731,4,2022,87.95,10.1,78
Leipzig,51.3397,12.3731,5,2022,55.67,8.6,99
Leipzig,51.3397,12.3731,6,2022,159.66,-2.5,78
Leipzig,51.3397,12.3731,7,2022,65.25,14.4,32
Leipzig,51.3397,12.3731,8,2022,59.88,-0.6,34
Leipzig,51.3397,12.3731,9,2022,46.5,4.9,90
Leipzig,51.3397,12.3731,10,2022,25.94,7.7,55
Leipzig,51.3397,12.3731,11,2022,51.29,27.4,34
Leipzig,51.3397,12.3731,12,2022,71.06,30.0,44
