city,lat,lon,month,year,rain,temp,humidity
Munich,48.1351,11.582,1,2021,141.54,32.3,72
Munich,48.1351,11.582,2,2021,12.44,22.4,67
Munich,48.1351,11.582,3,2021,29.46,16.3,70
Munich,48.1351,11.582,4,2021,1.57,-3.7,74
Munich,48.1351,11.582,5,2021,126.18,14.0,69
Munich,48.1351,11.582,6,2021,89.53,11.3,46
Munich,48.1351,11.582,7,2021,26.85,1.4,86
Munich,48.1351,11.582,8,2021,191.59,21.3,31
Munich,48.1351,11.582,9,2021,105.93,33.8,91
Munich,48.1351,11.582,10,2021,48.38,17.5,38
Munich,48.1351,11.582,11,2021,100.12,23.6,97
Munich,48.1351,11.582,12,2021,135.92,-2.3,46
