city,lat,lon,month,year,Rainfall (mm),temp,humidity
Munich,48.1351,11.582,1,2023,196.24,9.9,46
Munich,48.1351,11.582,2,2023,158.63,5.2,43
Munich,48.1351,11.582,3,2023,170.76,-0.8,78
Munich,48.1351,11.582,4,2023,48.4,9.2,58
Munich,48.1351,11.582,5,2023,192.13,11.5,33
Munich,48.1351,11.582,6,2023,39.39,22.0,49
Munich,48.1351,11.582,7,2023,190.29,21.3,76
Munich,48.1351,11.582,8,2023,198.96,-2.2,38
Munich,48.1351,11.582,9,2023,142.34,10.8,56
Munich,48.1351,11.582,10,2023,196.23,2.3,44
Munich,48.1351,11.582,11,2023,113.91,1.3,48
Munich,48.1351,11.582,12,2023,51.91,28.1,81
