city,timestamp,temperature_celsius,pressure_mb,humidity
New Delhi,2024-05-16 14:15:00,42.0,1008.0,13
New Delhi,2024-05-16 19:30:00,38.0,1005.0,23
New Delhi,2024-05-17 21:30:00,36.0,1003.0,21
New Delhi,2024-05-18 20:00:00,41.0,1000.0,15
New Delhi,2024-05-19 19:45:00,41.0,999.0,14
New Delhi,2024-05-20 20:15:00,40.0,1001.0,16
New Delhi,2024-05-21 20:15:00,38.0,1002.0,29
New Delhi,2024-05-22 19:45:00,37.0,1000.0,42
New Delhi,2024-05-23 19:30:00,37.0,1000.0,35
New Delhi,2024-05-24 20:00:00,37.0,1000.0,35
New Delhi,2024-05-25 19:30:00,42.0,998.0,17
New Delhi,2024-05-26 19:30:00,42.0,996.0,18
New Delhi,2024-05-27 20:00:00,41.0,994.0,15
New Delhi,2024-05-28 20:00:00,41.0,993.0,10
New Delhi,2024-05-29 19:30:00,36.0,996.0,27
New Delhi,2024-05-30 19:15:00,43.0,998.0,6
New Delhi,2024-05-31 19:45:00,41.0,999.0,17
New Delhi,2024-06-01 19:45:00,34.0,1003.0,32
New Delhi,2024-06-02 19:30:00,40.0,1002.0,18
New Delhi,2024-06-03 19:45:00,40.0,1000.0,17
New Delhi,2024-06-04 19:45:00,39.0,1000.0,24
New Delhi,2024-06-05 19:45:00,41.0,1001.0,21
New Delhi,2024-06-06 19:30:00,39.0,1003.0,23
New Delhi,2024-06-07 19:30:00,40.0,1000.0,17
New Delhi,2024-06-08 19:45:00,38.2,1000.0,17
New Delhi,2024-06-09 19:45:00,39.3,1000.0,13
New Delhi,2024-06-10 19:45:00,40.4,1001.0,16
New Delhi,2024-06-11 19:30:00,41.0,999.0,12
New Delhi,2024-06-12 19:45:00,41.2,999.0,14
New Delhi,2024-06-13 19:30:00,42.1,997.0,13
New Delhi,2024-06-14 19:30:00,40.0,995.0,19
New Delhi,2024-06-15 19:30:00,42.0,997.0,17
New Delhi,2024-06-16 19:15:00,44.8,994.0,12
New Delhi,2024-06-17 19:30:00,42.7,995.0,21
New Delhi,2024-06-18 19:30:00,44.1,991.0,16
New Delhi,2024-06-20 19:15:00,40.1,993.0,22
New Delhi,2024-06-21 19:00:00,31.1,998.0,63
New Delhi,2024-06-22 19:15:00,34.4,999.0,53
New Delhi,2024-06-23 19:15:00,33.1,998.0,59
New Delhi,2024-06-24 19:15:00,31.1,999.0,79
New Delhi,2024-06-25 18:45:00,41.6,993.0,27
New Delhi,2024-06-26 19:00:00,33.3,998.0,63
New Delhi,2024-06-27 18:45:00,33.2,999.0,59
New Delhi,2024-06-28 18:45:00,32.1,998.0,75
New Delhi,2024-06-29 18:15:00,32.8,996.0,60
New Delhi,2024-06-30 19:00:00,36.2,996.0,57
New Delhi,2024-07-01 18:45:00,34.3,994.0,63
