city,timestamp,temperature_celsius,pressure_mb,humidity
Ottawa,2025-01-01 05:30:00,1.1,1001.0,93
Ottawa,2025-01-02 04:45:00,-1.7,1004.0,93
Ottawa,2025-01-03 05:00:00,-6.9,1008.0,73
Ottawa,2025-01-04 05:15:00,-12.9,1009.0,72
Ottawa,2025-01-05 05:15:00,-10.8,1011.0,72
Ottawa,2025-01-06 05:30:00,-11.7,1022.0,62
Ottawa,2025-01-08 05:30:00,-15.7,1016.0,71
Ottawa,2025-01-09 05:00:00,-13.9,1011.0,72
Ottawa,2025-01-10 05:45:00,-12.6,1017.0,66
Ottawa,2025-01-11 05:30:00,-7.7,1003.0,67
Ottawa,2025-01-12 04:45:00,-9.6,1013.0,100
Ottawa,2025-01-13 05:45:00,-4.9,1011.0,100
Ottawa,2025-01-14 06:00:00,-4.8,1009.0,79
Ottawa,2025-01-15 05:30:00,-10.0,1019.0,79
Ottawa,2025-01-16 05:00:00,-6.9,1013.0,79
Ottawa,2025-01-17 04:45:00,-6.7,1011.0,100
Ottawa,2025-01-18 04:30:00,1.4,1004.0,64
Ottawa,2025-01-19 05:00:00,-11.0,1014.0,78
Ottawa,2025-01-20 05:30:00,-16.6,1019.0,65
Ottawa,2025-01-21 05:30:00,-15.8,1025.0,71
Ottawa,2025-01-22 05:15:00,-14.5,1029.0,67
Ottawa,2025-01-23 05:30:00,-10.9,1020.0,85
Ottawa,2025-01-24 05:30:00,-14.6,1018.0,86
Ottawa,2025-01-25 05:15:00,-16.6,1023.0,84
Ottawa,2025-01-26 05:15:00,-1.8,1009.0,86
Ottawa,2025-01-27 05:30:00,-4.9,1007.0,73
Ottawa,2025-01-28 06:00:00,-14.0,998.0,66
Ottawa,2025-01-29 05:30:00,-12.9,991.0,85
Ottawa,2025-01-30 05:15:00,-18.9,1019.0,64
Ottawa,2025-01-31 05:30:00,-11.8,1012.0,85
Ottawa,2025-02-01 05:45:00,-15.9,1019.0,65
Ottawa,2025-02-02 05:00:00,-21.8,1036.0,84
Ottawa,2025-02-03 05:30:00,-12.7,1017.0,92
Ottawa,2025-02-04 05:30:00,-6.9,1012.0,73
Ottawa,2025-02-05 05:30:00,-16.8,1030.0,65
Ottawa,2025-02-06 05:15:00,-17.8,1023.0,84
Ottawa,2025-02-07 05:30:00,-5.8,1003.0,86
Ottawa,2025-02-08 05:30:00,-9.7,1023.0,79
Ottawa,2025-02-09 05:15:00,-8.8,1015.0,100
Ottawa,2025-02-10 05:30:00,-12.0,1026.0,78
Ottawa,2025-02-11 05:15:00,-9.0,1024.0,79
Ottawa,2025-02-12 05:15:00,-16.9,1030.0,59
Ottawa,2025-02-13 05:15:00,-9.8,1011.0,85
Ottawa,2025-02-14 05:00:00,-13.9,1025.0,72
Ottawa,2025-02-15 05:15:00,-12.6,1032.0,66
Ottawa,2025-02-16 05:15:00,-8.6,1012.0,85
Ottawa,2025-02-17 05:15:00,-14.7,999.0,71
Ottawa,2025-02-18 05:15:00,-16.9,1014.0,59
Ottawa,2025-02-19 05:15:00,-17.6,1025.0,77
Ottawa,2025-02-20 05:00:00,-15.6,1020.0,78
Ottawa,2025-02-21 05:00:00,-11.9,1021.0,72
Ottawa,2025-02-22 05:00:00,-15.6,1026.0,84
Ottawa,2025-02-23 05:00:00,-3.9,1014.0,86
Ottawa,2025-02-24 05:00:00,-2.8,1015.0,93
Ottawa,2025-02-25 05:00:00,1.3,1004.0,86
Ottawa,2025-02-26 04:45:00,0.1,1008.0,93
Ottawa,2025-02-27 04:45:00,-6.9,1010.0,100
Ottawa,2025-02-28 04:45:00,-8.8,1003.0,73
Ottawa,2025-03-01 04:45:00,-7.9,991.0,92
Ottawa,2025-03-02 05:00:00,-20.0,1017.0,70
Ottawa,2025-03-03 04:45:00,-19.6,1023.0,84
Ottawa,2025-03-04 04:30:00,-3.0,1016.0,74
Ottawa,2025-03-05 04:45:00,0.4,1008.0,100
Ottawa,2025-03-06 04:45:00,5.1,986.0,100
Ottawa,2025-03-07 04:45:00,-7.6,1000.0,85
Ottawa,2025-03-08 04:45:00,-7.8,1000.0,62
Ottawa,2025-03-09 05:30:00,-4.9,1006.0,73
Ottawa,2025-03-10 05:30:00,-1.8,1004.0,100
Ottawa,2025-03-11 05:45:00,-1.0,1001.0,86
Ottawa,2025-03-12 05:45:00,-6.6,1018.0,49
Ottawa,2025-03-13 05:45:00,-6.7,1019.0,81
Ottawa,2025-03-14 05:30:00,-7.5,1019.0,89
Ottawa,2025-03-15 05:45:00,0.6,1013.0,83
Ottawa,2025-03-16 05:45:00,4.6,1007.0,100
Ottawa,2025-03-17 05:45:00,2.3,1010.0,93
Ottawa,2025-03-18 05:45:00,-5.7,1021.0,93
Ottawa,2025-03-19 05:45:00,0.3,1015.0,64
Ottawa,2025-03-20 05:45:00,10.1,1000.0,46
Ottawa,2025-03-21 05:30:00,-3.0,1006.0,68
Ottawa,2025-03-22 05:30:00,-0.6,1002.0,74
Ottawa,2025-03-23 05:45:00,-9.8,1021.0,56
Ottawa,2025-03-24 05:30:00,-2.7,1010.0,54
Ottawa,2025-03-25 05:15:00,1.3,1004.0,86
Ottawa,2025-03-26 05:15:00,-1.7,1013.0,100
Ottawa,2025-03-27 05:30:00,-3.6,1020.0,58
Ottawa,2025-03-28 05:45:00,-4.8,1021.0,73
Ottawa,2025-03-29 05:30:00,-3.9,1015.0,100
Ottawa,2025-03-30 05:30:00,-1.7,1019.0,69
Ottawa,2025-03-31 05:15:00,0.1,998.0,100
Ottawa,2025-04-01 05:30:00,-1.7,1012.0,69
Ottawa,2025-04-02 05:00:00,-7.6,1032.0,62
Ottawa,2025-04-03 05:00:00,1.2,1010.0,100
Ottawa,2025-04-04 05:15:00,2.3,1019.0,69
Ottawa,2025-04-05 05:00:00,3.2,1026.0,60
Ottawa,2025-04-06 05:00:00,3.1,1010.0,100
Ottawa,2025-04-07 05:00:00,-2.8,1013.0,63
Ottawa,2025-04-08 05:30:00,-0.7,999.0,100
Ottawa,2025-04-09 05:15:00,-6.1,1020.0,68
Ottawa,2025-04-10 05:15:00,-6.6,1027.0,93
Ottawa,2025-04-11 05:15:00,0.2,1021.0,100
Ottawa,2025-04-12 05:15:00,3.2,1020.0,100
Ottawa,2025-04-13 05:00:00,4.4,1018.0,100
Ottawa,2025-04-14 05:30:00,2.3,1011.0,75
Ottawa,2025-04-15 05:15:00,4.3,995.0,93
Ottawa,2025-04-16 05:00:00,0.4,999.0,74
Ottawa,2025-04-17 04:45:00,0.1,1016.0,69
Ottawa,2025-04-18 05:15:00,0.2,1020.0,74
Ottawa,2025-04-19 04:45:00,9.4,1007.0,100
Ottawa,2025-04-20 04:45:00,3.2,1022.0,75
Ottawa,2025-04-21 05:15:00,-0.8,1027.0,59
Ottawa,2025-04-22 05:00:00,8.2,1009.0,100
Ottawa,2025-04-23 05:00:00,2.3,1021.0,87
Ottawa,2025-04-24 05:00:00,4.3,1025.0,75
Ottawa,2025-04-25 05:00:00,8.4,1023.0,81
Ottawa,2025-04-26 05:00:00,10.1,1009.0,66
Ottawa,2025-04-27 04:45:00,3.0,1012.0,100
Ottawa,2025-04-28 05:30:00,5.1,1024.0,61
Ottawa,2025-04-29 04:45:00,12.4,1014.0,47
Ottawa,2025-04-30 04:45:00,0.3,1015.0,69
Ottawa,2025-05-01 04:45:00,1.1,1021.0,80
Ottawa,2025-05-02 05:00:00,8.1,1005.0,100
Ottawa,2025-05-03 05:00:00,7.0,1012.0,87
Ottawa,2025-05-04 04:45:00,9.7,1015.0,68
Ottawa,2025-05-05 05:00:00,11.3,1022.0,50
Ottawa,2025-05-06 05:00:00,13.2,1019.0,100
Ottawa,2025-05-07 04:45:00,13.1,1009.0,100
Ottawa,2025-05-08 04:45:00,6.1,1019.0,100
Ottawa,2025-05-09 05:15:00,7.1,1021.0,93
Ottawa,2025-05-10 05:00:00,8.3,1015.0,100
Ottawa,2025-05-11 04:45:00,3.3,1025.0,56
Ottawa,2025-05-12 05:00:00,8.2,1024.0,66
Ottawa,2025-05-13 05:15:00,11.2,1021.0,58
Ottawa,2025-05-14 05:15:00,13.2,1018.0,100
Ottawa,2025-05-15 05:00:00,17.3,1012.0,94
Ottawa,2025-05-16 05:00:00,14.0,1006.0,100
Ottawa,2025-05-17 04:45:00,15.1,999.0,100
Ottawa,2025-05-18 04:45:00,12.3,996.0,100
Ottawa,2025-05-19 05:00:00,6.1,1011.0,75
Ottawa,2025-05-20 05:00:00,2.1,1017.0,93
Ottawa,2025-05-21 04:45:00,9.2,1018.0,93
Ottawa,2025-05-22 04:45:00,8.3,1012.0,100
Ottawa,2025-05-23 05:00:00,7.3,1009.0,100
Ottawa,2025-05-24 04:45:00,6.2,1011.0,100
Ottawa,2025-05-25 04:30:00,7.2,1017.0,100
Ottawa,2025-05-26 05:00:00,8.0,1020.0,100
Ottawa,2025-05-27 05:00:00,9.1,1025.0,100
Ottawa,2025-05-28 04:45:00,13.8,1024.0,82
Ottawa,2025-05-29 04:45:00,15.1,1018.0,77
Ottawa,2025-05-30 04:45:00,13.4,1005.0,100
Ottawa,2025-05-31 04:45:00,13.3,995.0,100
Ottawa,2025-06-01 04:45:00,6.8,996.0,76
Ottawa,2025-06-02 05:00:00,7.3,1010.0,100
Ottawa,2025-06-03 05:00:00,9.1,1015.0,100
Ottawa,2025-06-04 05:00:00,15.1,1016.0,77
Ottawa,2025-06-05 04:45:00,19.1,1015.0,100
Ottawa,2025-06-06 04:45:00,15.1,1015.0,93
Ottawa,2025-06-07 04:45:00,18.1,1010.0,64
Ottawa,2025-06-08 04:45:00,12.2,1012.0,67
Ottawa,2025-06-09 05:00:00,17.2,1009.0,77
Ottawa,2025-06-10 05:00:00,17.1,1006.0,100
Ottawa,2025-06-11 04:45:00,12.0,1012.0,100
Ottawa,2025-06-12 04:45:00,15.3,1011.0,100
Ottawa,2025-06-13 05:00:00,7.3,1022.0,100
Ottawa,2025-06-14 05:00:00,10.0,1022.0,76
Ottawa,2025-06-15 04:45:00,8.2,1021.0,100
Ottawa,2025-06-16 05:00:00,8.0,1020.0,87
Ottawa,2025-06-17 05:00:00,18.3,1015.0,100
Ottawa,2025-06-18 05:00:00,20.2,1009.0,100
Ottawa,2025-06-19 05:00:00,20.2,1006.0,100
Ottawa,2025-06-20 05:00:00,15.1,1003.0,100
Ottawa,2025-06-21 04:45:00,11.4,1017.0,100
Ottawa,2025-06-22 04:30:00,23.3,1006.0,82
Ottawa,2025-06-23 04:45:00,22.2,1016.0,94
Ottawa,2025-06-24 05:00:00,25.0,1015.0,79
Ottawa,2025-06-25 05:00:00,21.9,1016.0,88
Ottawa,2025-06-26 05:00:00,17.1,1021.0,52
Ottawa,2025-06-27 04:45:00,13.3,1023.0,77
