city,timestamp,temperature_celsius,pressure_mb,humidity
Pretoria,2025-01-01 12:30:00,24.4,1020.0,65
Pretoria,2025-01-02 12:15:00,30.0,1012.0,38
Pretoria,2025-01-03 12:45:00,28.3,1021.0,62
Pretoria,2025-01-04 12:15:00,26.4,1021.0,61
Pretoria,2025-01-05 11:45:00,26.4,1013.0,70
Pretoria,2025-01-06 12:30:00,25.1,1015.0,65
Pretoria,2025-01-07 12:45:00,22.3,1017.0,78
Pretoria,2025-01-08 12:30:00,26.1,1017.0,61
Pretoria,2025-01-09 12:30:00,20.3,1017.0,88
Pretoria,2025-01-10 13:00:00,27.3,1016.0,62
Pretoria,2025-01-11 12:30:00,24.1,1019.0,74
Pretoria,2025-01-12 12:15:00,20.1,1020.0,88
Pretoria,2025-01-13 12:45:00,21.1,1019.0,69
Pretoria,2025-01-14 13:00:00,22.2,1016.0,78
Pretoria,2025-01-15 12:45:00,27.2,1013.0,54
Pretoria,2025-01-16 12:00:00,25.4,1018.0,61
Pretoria,2025-01-17 13:15:00,26.9,1014.0,46
Pretoria,2025-01-18 12:30:00,23.1,1022.0,65
Pretoria,2025-01-19 12:00:00,29.0,1019.0,48
Pretoria,2025-01-20 12:30:00,29.2,1018.0,48
Pretoria,2025-01-21 12:30:00,27.0,1021.0,39
Pretoria,2025-01-22 12:15:00,25.1,1023.0,47
Pretoria,2025-01-23 12:30:00,30.6,1012.0,30
Pretoria,2025-01-24 12:30:00,29.1,1019.0,43
Pretoria,2025-01-25 12:15:00,29.2,1018.0,40
Pretoria,2025-01-26 12:30:00,29.1,1019.0,31
Pretoria,2025-01-27 12:30:00,19.7,1014.0,49
Pretoria,2025-01-28 13:00:00,30.4,1011.0,16
Pretoria,2025-01-29 12:30:00,31.1,1014.0,25
Pretoria,2025-01-30 12:15:00,30.9,1010.0,28
Pretoria,2025-01-31 12:30:00,32.0,1008.0,29
Pretoria,2025-02-01 12:30:00,32.2,1009.0,33
Pretoria,2025-02-02 12:15:00,26.2,1013.0,52
Pretoria,2025-02-03 12:30:00,32.0,1012.0,30
Pretoria,2025-02-04 12:30:00,29.9,1014.0,39
Pretoria,2025-02-05 12:30:00,30.7,1011.0,36
Pretoria,2025-02-06 12:15:00,24.7,1012.0,59
Pretoria,2025-02-07 12:15:00,25.0,1016.0,50
Pretoria,2025-02-08 12:30:00,30.6,1014.0,33
Pretoria,2025-02-09 12:30:00,32.2,1010.0,30
Pretoria,2025-02-10 12:30:00,29.5,1010.0,39
Pretoria,2025-02-11 12:15:00,25.6,1013.0,51
Pretoria,2025-02-12 12:15:00,20.5,1017.0,72
Pretoria,2025-02-13 12:30:00,26.9,1013.0,50
Pretoria,2025-02-14 12:00:00,26.2,1014.0,45
Pretoria,2025-02-15 12:15:00,29.2,1013.0,34
Pretoria,2025-02-16 12:15:00,20.9,1015.0,68
Pretoria,2025-02-17 12:15:00,16.4,1016.0,92
Pretoria,2025-02-18 12:15:00,18.6,1014.0,93
Pretoria,2025-02-19 12:15:00,16.8,1015.0,92
Pretoria,2025-02-20 12:00:00,19.4,1022.0,78
Pretoria,2025-02-21 12:00:00,24.1,1020.0,65
Pretoria,2025-02-22 12:00:00,26.3,1019.0,61
Pretoria,2025-02-23 12:15:00,28.2,1019.0,58
Pretoria,2025-02-24 12:00:00,26.3,1022.0,51
Pretoria,2025-02-25 12:00:00,28.2,1018.0,42
Pretoria,2025-02-26 12:00:00,27.4,1018.0,51
Pretoria,2025-02-27 11:45:00,26.7,1012.0,47
Pretoria,2025-02-28 12:00:00,29.4,1010.0,36
Pretoria,2025-03-01 11:45:00,26.2,1012.0,51
Pretoria,2025-03-02 12:00:00,21.0,1022.0,83
Pretoria,2025-03-03 12:00:00,23.0,1022.0,73
Pretoria,2025-03-04 11:45:00,24.0,1023.0,65
Pretoria,2025-03-05 11:45:00,25.1,1023.0,65
Pretoria,2025-03-06 11:45:00,28.3,1025.0,55
Pretoria,2025-03-07 11:45:00,27.0,1026.0,58
Pretoria,2025-03-08 11:45:00,26.1,1024.0,34
Pretoria,2025-03-09 11:45:00,26.9,1016.0,34
Pretoria,2025-03-10 11:45:00,27.3,1022.0,42
Pretoria,2025-03-11 11:45:00,23.4,1026.0,61
Pretoria,2025-03-12 11:30:00,23.2,1022.0,61
Pretoria,2025-03-13 11:45:00,22.2,1020.0,65
Pretoria,2025-03-14 11:45:00,22.3,1023.0,65
Pretoria,2025-03-15 11:45:00,21.2,1025.0,60
Pretoria,2025-03-16 12:00:00,22.2,1026.0,65
