city,lat,lon,month,year,Rainfall (mm),temp,humidity
Stuttgart,48.7758,9.1829,1,2021,61.56,21.0,37
Stuttgart,48.7758,9.1829,2,2021,182.76,33.2,94
Stuttgart,48.7758,9.1829,3,2021,190.56,1.1,59
Stuttgart,48.7758,9.1829,4,2021,65.35,14.1,78
Stuttgart,48.7758,9.1829,5,2021,70.88,19.1,38
Stuttgart,48.7758,9.1829,6,2021,101.13,18.3,46
Stuttgart,48.7758,9.1829,7,2021,188.22,11.1,98
Stuttgart,48.7758,9.1829,8,2021,175.26,8.5,87
Stuttgart,48.7758,9.1829,9,2021,20.51,0.1,86
Stuttgart,48.7758,9.1829,10,2021,78.55,10.7,91
Stuttgart,48.7758,9.1829,11,2021,110.67,1.5,81
Stuttgart,48.7758,9.1829,12,2021,100.63,24.4,90
