city,lat,lon,month,year,rain,temp,humidity
Stuttgart,48.7758,9.1829,1,2023,45.92,10.9,39
Stuttgart,48.7758,9.1829,2,2023,23.51,6.9,35
Stuttgart,48.7758,9.1829,3,2023,33.06,0.7,86
Stuttgart,48.7758,9.1829,4,2023,0.4,1.1,30
Stuttgart,48.7758,9.1829,5,2023,143.75,12.3,87
Stuttgart,48.7758,9.1829,6,2023,146.48,18.8,50
Stuttgart,48.7758,9.1829,7,2023,102.99,-1.8,85
Stuttgart,48.7758,9.1829,8,2023,32.27,32.6,49
Stuttgart,48.7758,9.1829,9,2023,16.71,25.2,83
Stuttgart,48.7758,9.1829,10,2023,3.83,18.5,54
Stuttgart,48.7758,9.1829,11,2023,33.15,28.1,57
Stuttgart,48.7758,9.1829,12,2023,178.17,-1.8,34
