city,timestamp,temperature_celsius,pressure_mb,humidity
Tokyo,2025-01-01 19:30:00,10.0,1016.0,37
Tokyo,2025-01-02 18:45:00,10.1,1014.0,76
Tokyo,2025-01-03 19:00:00,6.3,1013.0,87
Tokyo,2025-01-04 19:15:00,7.1,1021.0,39
Tokyo,2025-01-05 18:45:00,8.2,1022.0,71
Tokyo,2025-01-06 18:45:00,6.1,1007.0,87
Tokyo,2025-01-07 19:45:00,10.0,1001.0,29
Tokyo,2025-01-08 19:30:00,7.0,1009.0,36
Tokyo,2025-01-09 19:30:00,8.4,1005.0,29
Tokyo,2025-01-10 20:00:00,6.2,1017.0,33
Tokyo,2025-01-11 19:30:00,9.2,1022.0,43
Tokyo,2025-01-12 19:30:00,8.3,1015.0,71
Tokyo,2025-01-13 19:45:00,7.3,1020.0,39
Tokyo,2025-01-14 20:00:00,9.1,1016.0,62
Tokyo,2025-01-15 19:30:00,9.3,1012.0,37
Tokyo,2025-01-16 18:15:00,6.4,1016.0,49
Tokyo,2025-01-17 18:45:00,5.1,1019.0,38
Tokyo,2025-01-18 19:15:00,7.4,1024.0,49
Tokyo,2025-01-19 18:15:00,9.1,1017.0,62
Tokyo,2025-01-20 19:30:00,11.0,1010.0,82
Tokyo,2025-01-21 19:30:00,10.1,1016.0,66
Tokyo,2025-01-22 19:15:00,10.1,1021.0,54
Tokyo,2025-01-23 19:30:00,10.2,1019.0,82
Tokyo,2025-01-24 19:30:00,11.1,1020.0,71
Tokyo,2025-01-25 19:15:00,8.2,1019.0,57
Tokyo,2025-01-26 19:15:00,8.4,1016.0,42
Tokyo,2025-01-27 19:30:00,9.1,1012.0,62
Tokyo,2025-01-28 20:00:00,10.2,1005.0,37
Tokyo,2025-01-29 19:30:00,8.2,1011.0,34
Tokyo,2025-01-30 19:15:00,9.4,1014.0,37
Tokyo,2025-01-31 19:30:00,9.1,1021.0,40
Tokyo,2025-02-01 19:30:00,9.1,1020.0,50
Tokyo,2025-02-02 19:00:00,6.1,1014.0,81
Tokyo,2025-02-03 19:30:00,7.3,1004.0,76
Tokyo,2025-02-04 19:30:00,6.3,999.0,56
Tokyo,2025-02-05 19:30:00,4.1,1001.0,30
Tokyo,2025-02-06 19:15:00,7.4,1009.0,36
Tokyo,2025-02-07 19:30:00,6.2,1003.0,31
Tokyo,2025-02-08 19:30:00,6.2,1010.0,28
Tokyo,2025-02-09 19:30:00,6.3,1016.0,36
Tokyo,2025-02-10 19:30:00,8.2,1015.0,29
Tokyo,2025-02-11 19:15:00,6.3,1022.0,36
Tokyo,2025-02-12 19:15:00,12.0,1009.0,58
Tokyo,2025-02-13 19:15:00,6.2,1011.0,45
Tokyo,2025-02-14 19:00:00,11.1,1014.0,54
Tokyo,2025-02-15 19:15:00,12.0,1017.0,58
Tokyo,2025-02-16 19:15:00,11.3,1009.0,82
Tokyo,2025-02-17 19:15:00,7.2,1006.0,45
Tokyo,2025-02-18 19:00:00,7.3,1010.0,29
Tokyo,2025-02-19 19:15:00,5.1,1015.0,38
Tokyo,2025-02-20 19:00:00,7.4,1018.0,33
Tokyo,2025-02-21 19:00:00,8.0,1020.0,21
Tokyo,2025-02-22 19:00:00,5.4,1019.0,30
Tokyo,2025-02-23 19:00:00,8.4,1018.0,21
Tokyo,2025-02-24 19:00:00,7.2,1018.0,31
Tokyo,2025-02-25 19:00:00,10.3,1021.0,62
Tokyo,2025-02-26 19:00:00,12.1,1014.0,35
Tokyo,2025-02-27 18:45:00,13.2,1020.0,47
Tokyo,2025-02-28 19:00:00,12.3,1017.0,77
Tokyo,2025-03-01 18:45:00,15.3,1017.0,77
Tokyo,2025-03-02 19:00:00,14.2,1011.0,77
Tokyo,2025-03-03 18:45:00,3.3,1022.0,93
Tokyo,2025-03-04 18:30:00,3.4,1025.0,93
Tokyo,2025-03-05 18:45:00,9.2,1010.0,93
Tokyo,2025-03-06 18:45:00,10.1,1011.0,43
Tokyo,2025-03-07 18:45:00,7.4,1023.0,33
Tokyo,2025-03-08 18:45:00,3.1,1027.0,93
Tokyo,2025-03-09 18:45:00,11.1,1025.0,58
Tokyo,2025-03-10 18:45:00,10.3,1028.0,62
Tokyo,2025-03-11 18:45:00,13.2,1022.0,72
Tokyo,2025-03-12 18:30:00,14.1,1015.0,94
Tokyo,2025-03-13 18:45:00,14.3,1014.0,82
Tokyo,2025-03-14 18:45:00,15.1,1020.0,44
Tokyo,2025-03-15 18:45:00,9.2,1024.0,71
Tokyo,2025-03-16 18:45:00,8.3,998.0,93
Tokyo,2025-03-17 18:45:00,10.2,1005.0,37
Tokyo,2025-03-18 18:45:00,10.1,1012.0,71
Tokyo,2025-03-19 18:30:00,9.1,1012.0,53
Tokyo,2025-03-20 18:45:00,10.1,1015.0,71
Tokyo,2025-03-21 18:30:00,16.1,1008.0,45
Tokyo,2025-03-22 18:30:00,19.3,1003.0,43
Tokyo,2025-03-23 18:45:00,15.1,1009.0,77
Tokyo,2025-03-24 18:30:00,17.4,1006.0,72
Tokyo,2025-03-25 18:15:00,19.1,1001.0,60
Tokyo,2025-03-26 18:30:00,19.1,1005.0,46
Tokyo,2025-03-27 18:15:00,20.3,1004.0,83
Tokyo,2025-03-28 18:30:00,17.2,998.0,83
Tokyo,2025-03-29 18:30:00,6.4,1018.0,87
Tokyo,2025-03-30 18:30:00,12.2,1017.0,47
Tokyo,2025-03-31 18:15:00,8.2,1027.0,66
Tokyo,2025-04-01 18:30:00,6.1,1025.0,93
Tokyo,2025-04-02 18:00:00,11.2,1014.0,94
Tokyo,2025-04-03 18:00:00,9.1,1012.0,87
Tokyo,2025-04-04 18:15:00,15.0,1014.0,31
Tokyo,2025-04-05 18:00:00,15.0,1018.0,55
Tokyo,2025-04-06 18:00:00,17.3,1012.0,63
Tokyo,2025-04-07 18:15:00,18.4,1012.0,28
Tokyo,2025-04-08 18:15:00,20.0,1007.0,37
Tokyo,2025-04-09 18:15:00,20.2,1011.0,37
Tokyo,2025-04-10 18:15:00,19.4,1007.0,64
Tokyo,2025-04-11 18:15:00,16.1,1007.0,72
Tokyo,2025-04-12 18:15:00,17.0,1014.0,59
Tokyo,2025-04-13 18:00:00,14.3,1008.0,94
Tokyo,2025-04-14 18:30:00,20.3,997.0,40
Tokyo,2025-04-15 18:15:00,18.4,988.0,26
Tokyo,2025-04-16 18:00:00,21.1,1005.0,25
Tokyo,2025-04-17 17:45:00,24.0,1009.0,36
Tokyo,2025-04-18 18:15:00,22.2,1010.0,61
Tokyo,2025-04-19 18:00:00,23.2,1012.0,65
Tokyo,2025-04-20 17:45:00,23.1,1008.0,57
Tokyo,2025-04-21 18:15:00,21.3,1014.0,49
Tokyo,2025-04-22 18:15:00,20.0,1011.0,56
Tokyo,2025-04-23 18:00:00,18.1,1000.0,88
Tokyo,2025-04-24 17:45:00,21.3,1003.0,73
Tokyo,2025-04-25 17:45:00,19.1,1005.0,78
Tokyo,2025-04-26 18:00:00,14.0,1013.0,82
Tokyo,2025-04-27 17:45:00,22.2,1010.0,35
Tokyo,2025-04-28 18:30:00,18.4,1006.0,73
Tokyo,2025-04-29 17:45:00,22.2,1002.0,35
Tokyo,2025-04-30 17:45:00,20.2,1016.0,49
Tokyo,2025-05-01 18:00:00,20.3,1019.0,56
Tokyo,2025-05-02 18:00:00,16.0,1000.0,94
Tokyo,2025-05-03 18:00:00,21.3,1005.0,53
Tokyo,2025-05-04 17:45:00,21.2,1002.0,56
Tokyo,2025-05-05 18:00:00,20.2,1012.0,46
Tokyo,2025-05-06 18:00:00,14.1,1003.0,94
Tokyo,2025-05-07 17:45:00,20.1,1009.0,35
Tokyo,2025-05-08 17:45:00,21.4,1021.0,38
Tokyo,2025-05-09 18:15:00,20.3,1020.0,68
Tokyo,2025-05-10 18:00:00,19.1,997.0,88
Tokyo,2025-05-11 17:45:00,23.3,1003.0,47
Tokyo,2025-05-12 18:00:00,18.2,1008.0,77
Tokyo,2025-05-13 18:15:00,23.3,1017.0,50
Tokyo,2025-05-14 18:15:00,24.0,1019.0,54
Tokyo,2025-05-15 18:00:00,22.3,1019.0,61
Tokyo,2025-05-16 18:00:00,22.2,1018.0,57
Tokyo,2025-05-17 17:45:00,21.3,1005.0,94
Tokyo,2025-05-18 17:45:00,25.1,1003.0,69
Tokyo,2025-05-19 18:00:00,19.1,1011.0,68
Tokyo,2025-05-20 18:00:00,26.4,1009.0,55
Tokyo,2025-05-21 17:45:00,27.0,1006.0,66
Tokyo,2025-05-22 17:45:00,23.1,1001.0,71
Tokyo,2025-05-23 18:00:00,21.2,1013.0,40
Tokyo,2025-05-24 17:45:00,19.0,1013.0,68
Tokyo,2025-05-25 17:30:00,20.3,1003.0,78
Tokyo,2025-05-26 18:00:00,21.1,1018.0,60
Tokyo,2025-05-27 18:00:00,20.1,1021.0,64
Tokyo,2025-05-28 17:45:00,23.0,1017.0,50
Tokyo,2025-05-29 17:45:00,21.3,1015.0,64
Tokyo,2025-05-30 17:45:00,15.2,1009.0,94
Tokyo,2025-05-31 17:45:00,16.1,997.0,88
Tokyo,2025-06-01 17:45:00,21.1,1003.0,73
Tokyo,2025-06-02 18:00:00,23.1,1005.0,69
Tokyo,2025-06-03 18:00:00,18.1,997.0,100
Tokyo,2025-06-04 18:00:00,27.1,998.0,62
Tokyo,2025-06-05 17:45:00,26.1,1008.0,48
Tokyo,2025-06-06 18:00:00,25.1,1010.0,57
Tokyo,2025-06-07 17:45:00,24.2,1008.0,69
Tokyo,2025-06-08 17:45:00,25.2,1009.0,61
Tokyo,2025-06-09 18:00:00,21.4,1012.0,83
Tokyo,2025-06-10 18:00:00,21.1,1008.0,94
Tokyo,2025-06-11 17:45:00,21.2,1009.0,94
Tokyo,2025-06-12 17:45:00,27.2,1014.0,48
Tokyo,2025-06-13 18:00:00,24.4,1017.0,65
Tokyo,2025-06-14 18:00:00,22.1,1011.0,83
Tokyo,2025-06-15 17:30:00,30.0,997.0,75
Tokyo,2025-06-16 18:00:00,29.4,1003.0,70
Tokyo,2025-06-17 18:00:00,33.4,1006.0,56
Tokyo,2025-06-18 18:00:00,33.0,1011.0,47
Tokyo,2025-06-19 18:00:00,30.3,1013.0,66
Tokyo,2025-06-20 17:45:00,29.0,1013.0,62
Tokyo,2025-06-21 18:00:00,28.1,1009.0,62
Tokyo,2025-06-22 17:30:00,32.2,1005.0,56
Tokyo,2025-06-23 18:00:00,29.1,1009.0,66
Tokyo,2025-06-24 17:45:00,29.3,1013.0,70
Tokyo,2025-06-25 17:45:00,28.3,1012.0,84
Tokyo,2025-06-26 18:00:00,30.1,1005.0,70
Tokyo,2025-06-27 17:45:00,31.1,1003.0,59
