city,date,timestamp,temp_variability,stability_score,realtime_temp,realtime_humidity
Paris,2025-07-03,2025-07-03T16:18:09.045531,7.461822973130638,0.11817784455847911,20.36,62
Berlin,2025-07-03,2025-07-03T16:18:09.051169,8.8066198008053,0.10197193531637495,20.28,82
Tokyo,2025-07-03,2025-07-03T16:18:09.053926,6.597974700710632,0.13161402076088394,30.31,64
Rome,2025-07-03,2025-07-03T16:18:09.056369,9.129833326586674,0.0987183073758389,20.15,93
Ottawa,2025-07-03,2025-07-03T16:18:09.058794,9.34658685026044,0.09665023011669094,17.47,96
Madrid,2025-07-03,2025-07-03T16:18:09.061103,9.730244672967588,0.09319451983413506,26.81,45
Canberra,2025-07-03,2025-07-03T16:18:09.065972,6.273998002769079,0.1374759794571456,9.39,69
Pretoria,2025-07-03,2025-07-03T16:18:09.070124,4.5532462748005145,0.18007485181015537,14.76,73
Abuja,2025-07-03,2025-07-03T16:18:09.073760,2.9680337703227186,0.25201398422540905,24.08,87
Antananarivo,2025-07-03,2025-07-03T16:18:09.077388,4.450112055979044,0.18348246599864862,17.98,59
