city,month,year,date,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-04,11.312191524339275,0.08122030899398833,12.67,82
Munich,7,2025,2025-07-04,10.783212381792048,0.08486650054320036,18.39,88
Hamburg,7,2025,2025-07-04,12.11920376206246,0.07622413815171895,10.37,96
Cologne,7,2025,2025-07-04,11.458636359629457,0.08026560621356331,14.64,79
Frankfurt,7,2025,2025-07-04,11.134180824779563,0.08241182610019054,16.42,65
Stuttgart,7,2025,2025-07-04,10.840084434890512,0.08445885715588203,16.51,82
Dusseldorf,7,2025,2025-07-04,11.778781055768132,0.07825472520703503,13.94,81
Dresden,7,2025,2025-07-04,9.67065987026681,0.09371491661789759,12.33,86
Leipzig,7,2025,2025-07-04,10.661258394559038,0.08575403838633612,12.85,68
Hanover,7,2025,2025-07-04,10.916558324844063,0.0839168468562911,13.64,88
