city,month,year,date,rain,temp_variability,stability_score,realtime_temp,realtime_humidity
Berlin,7,2025,2025-07-09,4398.53,11.312,0.081,21.01,68.0
Munich,7,2025,2025-07-09,4861.27,10.783,0.085,16.95,71.0
Hamburg,7,2025,2025-07-09,4654.22,12.119,0.076,20.05,62.0
Cologne,7,2025,2025-07-09,5279.09,11.459,0.08,20.36,61.0
Frankfurt,7,2025,2025-07-09,4785.61,11.134,0.082,21.36,51.0
Stuttgart,7,2025,2025-07-09,4660.19,10.84,0.084,21.4,48.0
Dusseldorf,7,2025,2025-07-09,4733.23,11.779,0.078,20.72,56.0
Dresden,7,2025,2025-07-09,5353.25,9.671,0.094,17.14,72.0
Leipzig,7,2025,2025-07-09,4306.08,10.661,0.086,20.37,55.0
Hanover,7,2025,2025-07-09,4403.26,10.917,0.084,22.78,41.0
