city,temp,humidity,pressure,timestamp
Berlin,21.44,70,1016,2025-06-27T07:36:14.056382Z
Berlin,21.56,62,1016,2025-06-27T09:31:22.598414Z
Berlin,21.56,62,1016,2025-06-27T09:32:37.612535Z
Berlin,21.4,54,1017,2025-06-27T09:37:51.735429Z
Berlin,21.23,63,1017,2025-06-27T09:43:05.294219Z
Berlin,21.23,63,1017,2025-06-27T09:45:58.399550Z
Berlin,18.43,72,1019,2025-06-27T14:58:36.892478Z
Berlin,18.67,74,1019,2025-06-27T16:24:27.029549Z
Berlin,19.63,67,1019,2025-06-27T16:24:35.028723Z
Berlin,19.31,69,1019,2025-06-27T16:44:47.747679Z
Berlin,19.39,65,1020,2025-06-27T16:53:22.544563Z
Berlin,19.39,65,1020,2025-06-27T16:56:05.416871Z
Berlin,19.56,69,1020,2025-06-27T17:43:35.084983Z
